Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
217,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1,85,916381,381.01
218,The Grand Budapest Hotel,2014,99,R,8.1,88,856931,59.1
219,The Terminator,1984,107,R,8.1,84,899246,38.4
220,Blade Runner,1982,117,R,8.1,84,799750,32.87
221,Ford v Ferrari,2019,152,PG-13,8.1,81,435711,117.62
222,Catch Me If You Can,2002,141,PG-13,8.1,75,1046762,164.62
223,Fargo,1996,98,R,8.1,86,702290,24.61
224,The Big Lebowski,1998,117,R,8.1,71,837721,17.5
225,The Handmaiden,2016,145,Not Rated,8.1,85,162293,2.01
226,Before Sunrise,1995,101,R,8.1,77,327149,5.54
227,Ratatouille,2007,111,G,8.1,96,786603,206.45
228,The Help,2011,146,PG-13,8.1,62,479163,169.71
229,Spotlight,2015,129,R,8.1,93,488959,45.06
230,Dead Poets Society,1989,128,PG,8.1,79,521152,95.86
231,Rocky,1976,120,PG,8.1,70,609041,117.24
232,The Wizard of Oz,1939,102,PG,8.1,92,416255,2.08
233,Into the Wild,2007,148,R,8.1,73,642500,18.35
234,Memories of Murder,2003,132,Not Rated,8.1,82,202580,0.01
235,"Three Billboards Outside Ebbing, Missouri",2017,115,R,8.1,88,535515,54.51
236,Trainspotting,1996,93,R,8.1,83,709009,16.5
237,Rush,2013,123,R,8.1,74,498815,26.95
238,Inside Out,2015,95,PG,8.1,94,752832,356.46
239,Platoon,1986,120,R,8.1,92,428256,138.53
240,Logan,2017,137,R,8.1,77,802951,226.28
241,The Man Who Shot Liberty Valance,1962,123,Approved,8.1,94,80026,
242,"Monsters, Inc.",2001,92,G,8.1,79,948373,289.92
243,The Sound of Music,1965,172,G,8.1,63,248976,163.21
244,Room,2015,118,R,8.1,86,437958,14.68
245,In the Mood for Love,2000,98,PG,8.1,87,160082,2.73
246,Warrior,2011,140,PG-13,8.1,71,487204,13.66
247,How to Train Your Dragon,2010,98,PG,8.1,75,774717,217.58
248,Portrait of a Lady on Fire,2019,122,R,8.1,95,102304,3.76
249,"Lock, Stock and Two Smoking Barrels",1998,107,R,8.1,66,602092,3.9
250,12 Years a Slave,2013,134,R,8.1,96,724402,56.67
251,La haine,1995,98,Not Rated,8.1,,186804,0.31
252,Before Sunset,2004,80,R,8.1,91,278928,5.82
253,Raging Bull,1980,129,R,8.1,90,368699,23.38
254,Gran Torino,2008,116,R,8.1,72,797886,148.1
255,My Neighbor Totoro,1988,86,G,8.1,86,361046,1.11
